N	Pick	Part	Stock	Location	Year	Model	Interchange	Description	Interchange Description	Miles	Grade	Sale Price	Total Retail	Total Wholesale	Status	ARADamage	Cat	VIN	Warranty Description
1	N	ABK	14815	14815-13CU	2008	SCIOTC	51132	Actuator and Pump Assembly,4 WHEEL ABS	Actuator and Pump Assembly	140340	A	$90.00	$90.00	$90.00	 		Y	JTKDE167180230714	
2	N	ACL	14815	14815-13CU	2008	SCIOTC	58196C	（2AZFE engine）,2.4L	（2AZFE engine）	140340	A	$85.00	$85.00	$85.00	 		Y	JTKDE167180230714	
3	N	ALT	14815	SHOW-IMP	2008	SCIOTC	60905A	（100 amp）	（100 amp）	140340	A	$55.00	$55.00	$55.00	 		W	JTKDE167180230714	
4	N	ASH-L	14815	14815-13CU	2008	SCIOTC	61603	Front Axle, LH, MT,4 WHEEL ABS,FWD	Front Axle, LH, MT	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
5	N	ASH-R	14815	14815-13CU	2008	SCIOTC	61602	Front Axle, RH,4 WHEEL ABS,FWD	Front Axle, RH	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
6		AUT	14815	14815Y	2008	SCIOTC		MAROON EXT,PAINT CODE꞊3RO,2DR,PROD DATE꞊05/07,TRIM LEVEL꞊ TC,BLACK INT,HAS KEY,2.4L,MANUAL TRANS,A/C,4 WHEEL ABS,FWD		140340		$0.00	$0.00	$150.00	 		ND	JTKDE167180230714	
7	N	BAG	14815	14815-13CU	2008	SCIOTC	58259	driver, roof,BLACK INT	driver, roof	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
8	N	BAG	14815	14815-13CU	2008	SCIOTC	58365	driver, wheel, w/o Base package,BLACK INT	driver, wheel, w/o Base package	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
9	N	BAG	14815	14815-13CU	2008	SCIOTC	58258	passenger, roof,BLACK INT	passenger, roof	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
10	N	BAG	14815	14815-13CU	2008	SCIOTC	58257	INDASH passenger, dash,BLACK INT	passenger, dash	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
11	N	BAG	14815	14815-13CU	2008	SCIOTC	58340	driver, knee,BLACK INT	driver, knee	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
12	N	BMT	14815	14815-13CU	2008	SCIOTC	58502			140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
13	N	CBX	14815	14815-13CU	2008	SCIOTC	69218	Air Bag, air bag, （under console）, （side air bags）	Air Bag, air bag, （under console）, （side air bags）	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
14	N	CBX	14815	14815-13CU	2008	SCIOTC	69220	Suspension, （TPMS）, （RH dash）	Suspension, （TPMS）, （RH dash）	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
15	N	CBX	14815	14815-13CU	2008	SCIOTC	69822	Theft-Locking, （LH dash）, （transponder key）	Theft-Locking, （LH dash）, （transponder key）	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
16	N	CBX	14815	14815-13CU	2008	SCIOTC	69130	Transmission, （under console）	Transmission, （under console）	140340	A	$35.10	$35.10	$35.10	 		Y	JTKDE167180230714	
17	N	CFB	14815	14815-13CU	2008	SCIOTC				140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
18	N	COL	14815	14815-13CU	2008	SCIOTC	52760	Floor Shift,TILT,CRUISE,DELAY,FLOOR SHIFT,HAS KEY	Floor Shift	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
19	N	COM	14815	S-SHED	2008	SCIOTC	59051B			140340	A	$0.00	$0.00	$0.00	 		W	JTKDE167180230714	
20	N	CON	14815	14815-13CU	2008	SCIOTC	59471	2.4L,MANUAL TRANS		140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
21	N	CRB	14815	14815-13CU	2008	SCIOTC	50382	2.4L,MANUAL TRANS		140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
22	N	CSW	14815	14815-13CU	2008	SCIOTC	60076V	（turn and wiper）	（turn and wiper）	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
23	N	DMR-L	14815	14815-13CU	2008	SCIOTC	61435	Power, LH,MAROON EXT,PAINT CODE꞊3RO,SAIL MIRROR	Power, LH	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
24	N	DMR-R	14815	14815-13CU	2008	SCIOTC	61434	Power, RH,MAROON EXT,PAINT CODE꞊3RO,SAIL MIRROR	Power, RH	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
25	N	DPN	14815	14815-13CU	2008	SCIOTC	50300	W/DASH AIR BAG BLACK INT,3S1		140340	A	$0.00	$0.00	$0.00	 	3S1	Y	JTKDE167180230714	
26	N	DSF	14815	14815-13CU	2008	SCIOTC	50753	Driver's, （master）, w/o Base package	Driver's, （master）, w/o Base package	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
27	N	ECM	14815	14815-13CU	2008	SCIOTC	59967	Fan Assembly,2.4L,A/C	Fan Assembly	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
28	N	EFB	14815	14815-13CU	2008	SCIOTC	10607			140340	A	$50.12	$50.12	$50.12	 		Y	JTKDE167180230714	
29	N	EMB	14815	14815-13CU	2008	SCIOTC				140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
30	N	ENV	14815	14815-13CU	2008	SCIOTC		2.4L		140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
31	N	FCN	14815	14815-13CU	2008	SCIOTC	10096	（floor）, power sunroof,BLACK INT	（floor）, power sunroof	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
32	N	FDR-L	14815	14815-13CU	2008	SCIOTC	59204	（electric windows）, LH,MAROON EXT,PAINT CODE꞊3RO,2DR,PWR WND,SAIL MIRROR,PWR LOCK,5P1	（electric windows）, LH	140340	A	$0.00	$0.00	$0.00	 	5P1	Y	JTKDE167180230714	
33	N	FDR-R	14815	14815-13CU	2008	SCIOTC	59203	（electric windows）, RH,MAROON EXT,PAINT CODE꞊3RO,2DR,PWR WND,SAIL MIRROR,PWR LOCK,5P1	（electric windows）, RH	140340	A	$0.00	$0.00	$0.00	 	5P1	Y	JTKDE167180230714	
34	N	FDW-L	14815	14815-13CU	2008	SCIOTC	59166	LH	LH	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
35	N	FDW-R	14815	14815-13CU	2008	SCIOTC	59165	RH	RH	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
36	N	FEN-L	14815	14815-13CU	2008	SCIOTC	59175	LH,MAROON EXT,PAINT CODE꞊3RO,5P1	LH	140340	A	$0.00	$0.00	$0.00	 	5P1	Y	JTKDE167180230714	
37	N	FEN-R	14815	14815-13CU	2008	SCIOTC	59174	RH,MAROON EXT,PAINT CODE꞊3RO,5P1	RH	140340	A	$0.00	$0.00	$0.00	 	5P1	Y	JTKDE167180230714	
38	N	FPM	14815	14815-13CU	2008	SCIOTC	59332	Pump Assembly,2.4L	Pump Assembly	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
39	N	FRG-L	14815	14815-13CU	2008	SCIOTC	59115	（electric）, LH,2DR,PWR WND	（electric）, LH	140340	A	$50.97	$50.97	$50.97	 		Y	JTKDE167180230714	
40	N	FRG-R	14815	14815-13CU	2008	SCIOTC	59114	（electric）, RH,2DR,PWR WND	（electric）, RH	140340	A	$50.97	$50.97	$50.97	 		Y	JTKDE167180230714	
41	N	FSB	14815	14815-13CU	2008	SCIOTC	52042	（bucket）, driver, buckle,2DR,BLACK INT,BUCKET	（bucket）, driver, buckle	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
42	N	FSB	14815	14815-13CU	2008	SCIOTC	52040	（bucket）, driver, retractor,2DR,BLACK INT,BUCKET	（bucket）, driver, retractor	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
43	N	FSB	14815	14815-13CU	2008	SCIOTC	52043	（bucket）, passenger, buckle,2DR,BLACK INT,BUCKET	（bucket）, passenger, buckle	140340	A	$0.00	$0.00	$0.00	 		Y	JTKDE167180230714	
